year,จังหวัดกรุงเทพมหานคร,กลุ่มจังหวัดภาคเหนือตอนบน,กลุ่มจังหวัดภาคเหนือตอนล่าง,กลุ่มจังหวัดภาคกลางตอนบน,กลุ่มจังหวัดภาคกลางตอนล่าง,กลุ่มจังหวัดภาคตะวันออก,กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนบน,กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนล่าง,กลุ่มจังหวัดภาคใต้,กลุ่มจังหวัดภาคใต้ชายแดน
2550,14195280000.00,21956088473.00,20245973121.00,19497140633.00,28616152835.00,11521818474.00,27922870957.00,26064455354.00,44435126784.00,16204825931.00
2551,16168810900.00,22663973764.00,20995742472.00,15822465458.00,24893925627.00,12031443819.00,27021662378.00,22990402673.00,16216078347.00,17842017600.00
2552,105652970222.00,22799304948.00,20088983420.00,16857376174.00,23669018343.00,10373729319.00,28051504609.00,23000105431.00,47842077184.00,17763632439.00
2553,29716463204.00,23129198885.00,19462238023.00,17588592364.00,22040716623.00,10298526531.00,30543274116.00,27007640247.00,16277716571.00,17074874546.00
2554,46278086190.00,30943414896.00,24175255578.00,25568416556.00,28858080998.00,14155905983.00,36394270183.00,30879189479.00,59126258696.00,21865189973.00
2555,110740733143.00,26153244490.00,18110999885.00,19961707900.00,22484250444.00,14620159179.00,26097360454.00,21891192490.00,15720273738.00,18140356010.00
2556,106882801202.00,40943384155.00,33443039454.00,31418145299.00,37399187513.00,18911394521.00,49083382349.00,40867916238.00,26907559263.00,28377732893.00
2557,126039051928.00,47449527883.00,37652978921.00,32339348133.00,43980088961.00,19418697573.00,57054001861.00,51770418281.00,30886432928.00,33603835132.00
2558,566045009016.00,67203177203.00,57795844307.00,51460557793.00,70836606360.00,11287174526.00,83252300387.00,73088182444.00,45591868678.00,46028626894.00
2559,1724845072911.00,74023730930.00,62402771146.00,205155515697.00,94705017637.00,35321269138.00,95065417733.00,88921749997.00,53789792816.00,60901746295.00
2560,1698930167375.00,52304164230.00,42906217985.00,239825043753.00,73837982816.00,26278490319.00,62157852270.00,50052079895.00,35707034917.00,43455244640.00